Наименование;Категории
Прием (осмотр, консультация) врача-педиатра первичный;А
Прием врача-дерматовенеролога первичный;А
Ультразвуковое исследование малого таза женщин трансвагинальное;А
Прием (осмотр, консультация) врача общей практики первичный;А
Прием врача акушера-гинеколога первичный;А
Прием (осмотр, консультация) врача-терапевта первичный;А
Ультразвуковое исследование органов брюшной полости (печень, желчный пузырь, поджелудочная железа, селезенка + почки);А
Релатокс 1 ед.;А
Прием (осмотр, консультация) врача-оториноларинголога первичный;А
Гардасил /Вакцина против вируса папилломы человека;А
Прием врача-акушера-гинеколога повторный;А
LPG общий массаж (время процедуры 35 минут);А
Ультразвуковое исследование плода в I триместре беременности;А
Взятие крови из периферической вены;А
* Клинический анализ крови с лейкоцитарной формулой (5DIFF) и СОЭ, венозная кровь;А
Радиоволновое удаление папиллом/ родинок;А
Эхокардиография (ЭХОКГ);А
Организация выдачи медицинской книжки;А
Прием (осмотр, консультация) врача-педиатра повторный;А
Биохимический анализ крови, базовый;А
Массаж общий 60 минут;А
Госпитальный;А
УЗИ молочных желез с лимфатическими узлами;А
Ультразвуковая допплерография сосудов (вены) нижних конечностей;А
Внутримышечная инъекция;А
Внутривенное капельное введение лекарственных препаратов (без учета препарата) 1 категория;А
Массаж общий 90 минут;А
Внутривенная инъекция;А
Мезотерапия волосистой части головы (Hair X 2 мл.);А
Прием (осмотр, консультация) врача общей практики повторный;А
Ультразвуковое исследование органов брюшной полости (печень, желчный пузырь, поджелудочная железа, селезенка);А
Ультразвуковое исследование органов щитовидной и паращитовидных желез;А
LPG общий массаж (время процедуры 35 минут);А
Регистрация и расшифровка ЭКГ 12 отведений + 3 дополнительных;А
Коагулограмма, скрининг;А
Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное);А
Гинекологический массаж 2 категория (массаж + санация + плазмолифтинг + лечебные суппозитории грязевые);А
Выдача справки , в том, что контактов с инфекционными заболеваниями ( в т.ч. в отношении новой коронавирусной инфекции ) не было;А
Релатокс 1 ед.;А
Внутривенное капельное введение лекарственных препаратов (с учетом расходного материала);А
Ультразвуковое исследование плода в III триместре беременности;А
Прием врача-акушера-гинеколога повторный;А
Общий анализ мочи;А
Липолитическая мезотерапия LIPOLONG 4 мл;А
Контурная пластика Belotero lips shape 0,6 мл ( объем губ, коррекция выраженных морщин);А
Биоревитализация «Мезовартон» (Meso Wharton P199);А
Массаж спины 60 минут;А
Ультразвуковое исследование плода в II триместре беременности;А
Биорепарация (ГИАЛРИПАЙЕР - 04, 08 - 1,5 мл.) Мартинекс;А
ПЦР-15;А
Биоревитализация (MESOEYE C 71), 1 мл. (глаза);А
Прием (осмотр, консультация) врача-психиатра повторный ( 1 час);А
Составление медицинского заключения по форме 003-В/у для водителей категории А, А1, B, BE, B1, M;А
Прием (осмотр, консультация) врача-невролога первичный;А
